P_Pos, P_Vel, Altitude, Altitude_Baro, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites
1.54,0.40,-0.008179,-0.008179,1015.863464,0.015223,0.050297,-0.010658,49.247681,-123.230621,67.599998,LOCKED,5
1.54,0.40,-0.008179,-0.008179,1015.863464,-0.008858,0.046056,0.003964,49.247681,-123.230621,67.599998,LOCKED,5
1.54,0.41,-0.022377,-0.022377,1015.865173,-0.018533,0.057274,0.029407,49.247681,-123.230621,67.599998,LOCKED,5
1.54,0.41,-0.022377,-0.022377,1015.865173,-0.016201,0.027924,0.030022,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.42,-0.008179,-0.008179,1015.863464,-0.114484,0.041135,0.046867,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.43,-0.008179,-0.008179,1015.863464,-0.039885,0.019277,0.048537,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.43,-0.093391,-0.093391,1015.873779,-0.026184,0.034348,0.040106,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.45,-0.093391,-0.093391,1015.873779,-0.022410,0.020666,0.087270,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.48,-0.106071,-0.106071,1015.875305,-0.011513,0.112631,0.178859,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.51,-0.106071,-0.106071,1015.875305,-0.025194,0.109933,0.187961,49.247681,-123.230621,67.599998,LOCKED,5
1.55,0.53,-0.106071,-0.106071,1015.875305,-0.047266,0.091207,0.119079,49.247681,-123.230621,67.599998,LOCKED,5
1.56,0.55,-0.106071,-0.106071,1015.875305,-0.054900,0.067470,0.089402,49.247681,-123.230621,67.599998,LOCKED,5
1.56,0.56,-0.131943,-0.131943,1015.878418,-0.066553,0.051417,0.059942,49.247681,-123.230621,67.599998,LOCKED,5
1.56,0.56,-0.131943,-0.131943,1015.878418,-0.066220,0.070439,0.033784,49.247681,-123.230621,67.599998,LOCKED,5
1.57,0.57,-0.119263,-0.119263,1015.876892,-0.083393,0.092456,0.057001,49.247681,-123.230621,67.599998,LOCKED,5
1.57,0.58,-0.119263,-0.119263,1015.876892,-0.072735,0.058867,0.079597,49.247681,-123.230621,67.599998,LOCKED,5
1.57,0.59,-0.078682,-0.078682,1015.872009,-0.072839,0.046084,0.061066,49.247681,-123.230621,67.599998,LOCKED,5
1.58,0.59,-0.078682,-0.078682,1015.872009,-0.096264,0.083925,-0.000886,49.247681,-123.230621,67.599998,LOCKED,5
1.58,0.58,-0.119263,-0.119263,1015.876892,-0.099776,0.114264,-0.041045,49.247681,-123.230621,67.599998,LOCKED,5
1.59,0.58,-0.119263,-0.119263,1015.876892,-0.060926,0.110351,-0.035254,49.247681,-123.230621,67.599998,LOCKED,5
1.59,0.57,-0.131943,-0.131943,1015.878418,-0.027776,0.048958,-0.012495,49.247681,-123.230621,67.599998,LOCKED,5
1.59,0.56,-0.131943,-0.131943,1015.878418,-0.039936,0.039789,-0.051998,49.247681,-123.230621,67.599998,LOCKED,5
1.60,0.55,-0.146149,-0.146149,1015.880127,-0.043066,0.054998,-0.083698,49.247681,-123.230621,67.599998,LOCKED,5
1.60,0.53,-0.146149,-0.146149,1015.880127,-0.046032,0.053945,-0.116429,49.247681,-123.230621,67.599998,LOCKED,5
1.60,0.51,-0.075134,-0.075134,1015.871582,-0.048945,0.052249,-0.105792,49.247681,-123.230621,67.599998,LOCKED,5
1.60,0.50,-0.075134,-0.075134,1015.871582,-0.031719,0.064874,-0.023897,49.247681,-123.230621,67.599998,LOCKED,5
