Altitude, Acc_X, Acc_Y, Acc_Z
0.33,-0.01,0.01,-0.01
0.33,-0.01,0.01,-0.00
0.34,-0.01,-0.00,-0.01
0.34,-0.01,0.01,-0.00
0.33,-0.02,0.01,0.01
0.33,-0.01,-0.00,0.00
0.34,-0.01,-0.00,-0.00
0.34,-0.02,0.01,0.01
0.34,-0.03,-0.01,0.01
0.34,-0.02,-0.00,0.01
0.34,-0.02,0.02,-0.00
0.37,-0.02,0.02,0.02
0.37,-0.02,-0.00,0.01
0.37,-0.02,-0.00,0.01
0.37,-0.01,0.00,0.01
0.37,-0.02,0.02,0.00
0.37,-0.01,0.02,-0.00
0.37,-0.01,-0.00,-0.01
0.37,-0.02,-0.00,0.00
0.36,-0.02,0.01,0.00
0.36,-0.02,0.00,0.00
0.35,-0.01,0.01,-0.02
0.35,-0.01,0.01,0.00
0.35,-0.01,0.01,-0.01
0.35,-0.02,-0.00,0.01
0.35,-0.02,0.00,0.01
0.37,-0.02,0.01,0.00
0.37,-0.02,0.00,-0.01
0.37,-0.02,0.01,0.01
0.37,-0.01,-0.00,0.01
0.37,-0.02,-0.01,0.01
0.37,-0.01,0.01,-0.00
0.37,-0.01,0.01,0.00
0.37,-0.02,0.01,-0.01
0.37,-0.01,0.01,-0.00
0.37,-0.01,0.01,0.00
0.37,-0.01,0.02,0.00
0.37,-0.02,0.02,0.02
0.37,-0.02,-0.00,0.02
0.37,-0.01,0.01,-0.01
0.37,-0.00,0.00,-0.02
