P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, Altitude_GPS, LOCK, Satellites, q_w, q_x, q_y, q_z
0.38,-0.05,0.21,1016.607,-0.005375,0.001347,-0.001763,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.21,1016.607,-0.003856,-0.000537,-0.000311,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.29,1016.598,0.003419,0.003417,-0.006649,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.29,1016.598,-0.005139,-0.006010,-0.000093,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.33,1016.593,0.006161,-0.001056,0.007239,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.33,1016.593,0.003245,0.003258,-0.000059,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.37,-0.05,0.33,1016.593,0.002302,-0.003357,-0.006927,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.33,1016.593,-0.004327,0.000555,-0.003721,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.29,1016.598,-0.001311,0.001579,-0.001524,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.29,1016.598,0.003927,-0.001304,-0.002280,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.30,1016.596,-0.000310,-0.003414,-0.002041,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.30,1016.596,0.010047,-0.000699,0.000888,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.36,-0.05,0.33,1016.593,-0.003545,-0.007500,-0.003277,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.33,1016.593,0.004431,-0.001220,-0.002769,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.35,1016.591,-0.000421,0.006926,0.003138,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.35,1016.591,-0.001615,-0.000596,0.001149,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.003,-0.992

0.35,-0.05,0.33,1016.593,-0.001304,-0.006543,0.000143,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.003,-0.992

0.35,-0.05,0.33,1016.593,0.004412,-0.005918,-0.001328,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.35,1016.591,-0.002914,0.001060,0.000672,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.003,-0.992

0.35,-0.06,0.35,1016.591,-0.005248,0.000962,-0.005429,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.003,-0.992

0.35,-0.06,0.39,1016.586,0.003053,-0.001070,-0.000570,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.39,1016.586,-0.000809,0.006130,0.002643,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.43,1016.581,0.002542,-0.001852,0.009925,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.43,1016.581,-0.000254,-0.001778,0.001384,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.43,1016.581,0.003023,0.000111,-0.002030,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.44,1016.579,-0.005259,0.007266,-0.005401,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.002,-0.992

0.35,-0.05,0.44,1016.579,0.003177,-0.000872,-0.003500,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.002,-0.992

0.35,-0.05,0.46,1016.578,0.000499,0.000671,0.001151,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.002,-0.992

0.35,-0.05,0.46,1016.578,0.002913,-0.003558,0.002836,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.002,-0.992

0.35,-0.05,0.48,1016.574,-0.000927,-0.003578,0.006748,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.48,1016.574,-0.003080,0.002706,-0.002986,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.44,1016.579,0.001320,0.005126,-0.006888,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.44,1016.579,-0.003277,0.005372,0.000445,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.41,1016.583,-0.000108,-0.001869,0.001139,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.41,1016.583,0.002137,-0.006565,0.003556,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.39,1016.586,0.001026,0.000394,-0.004711,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.39,1016.586,-0.001515,-0.001455,0.004074,0.000000,0.000000,0.00,0,0,0.128,-0.001,0.002,-0.992

0.35,-0.05,0.37,1016.588,0.000416,0.005017,-0.002733,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.05,0.37,1016.588,-0.000317,0.001280,0.002621,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.04,0.37,1016.588,-0.001453,-0.008775,0.003549,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.002,-0.992

0.35,-0.04,0.37,1016.588,0.006502,-0.004209,0.007469,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.04,0.37,1016.588,-0.001254,-0.001010,0.002122,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.04,0.37,1016.588,-0.007989,0.005684,0.001186,0.000000,0.000000,0.00,0,0,0.128,-0.000,0.003,-0.992

0.35,-0.04,0.40,1016.584,0.004915,0.004350,0.002149,0.000000,0.000000,0.00,0,0,0.128,0.000,0.003,-0.992

0.35,-0.04,0.40,1016.584,0.004520,0.001717,-0.003235,0.000000,0.000000,0.00,0,0,0.128,0.000,0.003,-0.992

0.35,-0.04,0.39,1016.586,0.001674,0.001957,0.003360,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.35,-0.04,0.39,1016.586,0.000066,0.000059,0.003838,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.35,-0.04,0.48,1016.574,-0.004511,-0.003955,0.001373,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.35,-0.04,0.48,1016.574,-0.003435,0.002510,-0.000786,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.35,-0.04,0.47,1016.576,0.002718,0.002104,-0.000055,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.35,-0.04,0.47,1016.576,0.000198,-0.001494,0.001632,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.35,-0.04,0.46,1016.578,0.004346,0.002696,0.000190,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.36,-0.04,0.46,1016.578,0.005128,-0.000540,0.002856,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.36,-0.03,0.48,1016.574,-0.001331,-0.003010,0.003088,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.36,-0.03,0.48,1016.574,0.000347,0.004408,0.000687,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.36,-0.03,0.44,1016.579,-0.000277,0.003489,-0.001515,0.000000,0.000000,0.00,0,0,0.129,0.000,0.003,-0.992

0.36,-0.03,0.44,1016.579,-0.002212,0.008570,0.000222,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.36,-0.03,0.45,1016.578,0.006819,0.000628,0.000415,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.36,-0.03,0.45,1016.578,0.002588,-0.000870,0.007979,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.36,-0.03,0.50,1016.573,0.002515,-0.000591,-0.005937,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.36,-0.03,0.50,1016.573,-0.003640,0.005046,-0.001993,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.37,-0.03,0.58,1016.563,0.001572,0.000591,0.002371,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.37,-0.03,0.58,1016.563,0.000130,0.003345,-0.000787,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992

0.37,-0.03,0.59,1016.561,0.000876,0.000617,-0.002023,0.000000,0.000000,0.00,0,0,0.129,-0.000,0.003,-0.992
