type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	eos	name
T	2023-12-08 00:26:13	49.259866500	-123.245623667	107.1	0.2		9	1.15		
T	2023-12-08 00:26:13.2	49.259866500	-123.245623000	107.1	0.1		9	1.15		
T	2023-12-08 00:26:13.4	49.259866667	-123.245622000	107.2	0.1		9	1.15		
T	2023-12-08 00:26:13.6	49.259866333	-123.245621167	107.2	0.7		9	1.15		
T	2023-12-08 00:26:13.8	49.259867500	-123.245620500	106.9	0.3		9	1.15		
T	2023-12-08 00:26:14	49.259868667	-123.245620333	106.5	0.3		9	1.15		
T	2023-12-08 00:26:14.2	49.259869500	-123.245620500	106.3	0.4		10	1.15		
T	2023-12-08 00:26:14.4	49.259870000	-123.245620833	106.2	0.3		10	1.15		
T	2023-12-08 00:26:14.6	49.259870500	-123.245621167	106.0	0.2		10	1.15		
T	2023-12-08 00:26:14.8	49.259870833	-123.245621500	106.0	0.6		10	1.15		
T	2023-12-08 00:26:15	49.259871000	-123.245621667	105.9	0.3		10	1.15		
T	2023-12-08 00:26:15.2	49.259871000	-123.245621833	105.9	0.3		10	1.15		
T	2023-12-08 00:26:15.4	49.259871167	-123.245622000	106.0	0.6		10	1.15		
T	2023-12-08 00:26:15.6	49.259871667	-123.245622667	106.0	1.4	324.1	10	1.15		
T	2023-12-08 00:26:15.8	49.259872333	-123.245624000	106.1	2.2	327.8	10	1.15		
T	2023-12-08 00:26:16	49.259874000	-123.245624667	106.1	3.3	337.6	10	1.15		
T	2023-12-08 00:26:16.2	49.259875333	-123.245628167	106.4	4.8	332.5	11	1.15		
T	2023-12-08 00:26:16.4	49.259877500	-123.245630833	106.6	6.2	334.2	11	1.15		
T	2023-12-08 00:26:16.6	49.259880333	-123.245634500	106.8	7.4	333.4	11	1.15		
T	2023-12-08 00:26:16.8	49.259883167	-123.245638667	107.0	8.1	331.9	11	1.15		
T	2023-12-08 00:26:17	49.259887500	-123.245643333	107.2	9.8	331.5	11	1.15		
T	2023-12-08 00:26:17.2	49.259891833	-123.245647667	107.2	10.2	331.5	10	1.15		
T	2023-12-08 00:26:17.4	49.259896500	-123.245652333	107.3	10.6	331.3	11	1.11		
T	2023-12-08 00:26:17.6	49.259902500	-123.245657000	107.1	11.4	331.7	11	1.84		
T	2023-12-08 00:26:17.8	49.259908333	-123.245662333	106.9	11.7	330.7	11	1.84		
T	2023-12-08 00:26:18	49.259914333	-123.245667833	106.7	12.2	329.7	11	1.84		
T	2023-12-08 00:26:18.2	49.259920167	-123.245672500	106.5	11.9	330.2	10	1.84		
T	2023-12-08 00:26:18.4	49.259925500	-123.245677667	106.4	11.4	329.5	10	1.11		
T	2023-12-08 00:26:18.6	49.259931000	-123.245682500	106.2	11.4	329.4	10	1.11		
T	2023-12-08 00:26:18.8	49.259936167	-123.245687167	106.1	11.2	329.3	9	1.84		
T	2023-12-08 00:26:19	49.259941333	-123.245691667	105.9	10.8	328.9	9	1.84		
T	2023-12-08 00:26:19.2	49.259946667	-123.245696167	105.7	10.9	328.9	10	1.84		
T	2023-12-08 00:26:19.4	49.259951833	-123.245700833	105.5	10.8	328.2	10	1.84		
T	2023-12-08 00:26:19.6	49.259957000	-123.245705667	105.3	10.7	327.1	10	1.11		
T	2023-12-08 00:26:19.8	49.259962000	-123.245710167	105.0	10.3	326.5	10	1.11		
T	2023-12-08 00:26:20	49.259966667	-123.245715000	104.8	10.2	324.9	10	1.11		
T	2023-12-08 00:26:20.2	49.259971667	-123.245719500	104.6	10.3	324.3	10	1.11		
T	2023-12-08 00:26:20.4	49.259976167	-123.245724667	104.4	10.3	322.5	10	1.11		
T	2023-12-08 00:26:20.6	49.259980167	-123.245729167	104.3	10.0	321.2	10	1.11		
T	2023-12-08 00:26:20.8	49.259984000	-123.245733500	104.2	9.7	320.3	10	1.11		
T	2023-12-08 00:26:21	49.259987833	-123.245738167	104.1	9.5	319.3	10	1.11		
T	2023-12-08 00:26:21.2	49.259990500	-123.245742167	104.1	8.5	317.9	10	1.11		
T	2023-12-08 00:26:21.4	49.259991667	-123.245745500	104.1	6.7	314.2	10	1.11		
T	2023-12-08 00:26:21.6	49.259993000	-123.245749000	104.2	6.0	310.5	10	1.11		
T	2023-12-08 00:26:21.8	49.259994667	-123.245752500	104.2	5.8	308.8	10	1.11		
T	2023-12-08 00:26:22	49.259997000	-123.245756667	104.2	6.5	307.3	10	1.11		
T	2023-12-08 00:26:22.2	49.259999833	-123.245760833	104.2	7.1	309.4	10	1.11		
T	2023-12-08 00:26:22.4	49.260002000	-123.245765167	104.2	7.1	308.4	10	1.11		
T	2023-12-08 00:26:22.6	49.260003000	-123.245769500	104.3	6.5	304.5	10	1.11		
T	2023-12-08 00:26:22.8	49.260004333	-123.245772333	104.4	5.5	304.2	10	1.11		
T	2023-12-08 00:26:23	49.260005833	-123.245774667	104.4	5.1	304.8	10	1.11		
T	2023-12-08 00:26:23.2	49.260008333	-123.245780167	104.3	6.7	303.6	9	1.11		
T	2023-12-08 00:26:23.4	49.260010333	-123.245784833	104.2	6.9	302.1	10	1.11		
T	2023-12-08 00:26:23.6	49.260012333	-123.245790333	104.1	7.7	300.2	10	1.11		
T	2023-12-08 00:26:23.8	49.260014833	-123.245794333	104.0	7.5	301.9	10	1.11		
T	2023-12-08 00:26:24	49.260017333	-123.245798500	103.7	7.5	303.3	10	1.11		
T	2023-12-08 00:26:24.2	49.260019000	-123.245805167	103.9	8.6	299.9	10	1.11		
T	2023-12-08 00:26:24.4	49.260019667	-123.245812833	104.1	9.4	292.3	10	1.11		
T	2023-12-08 00:26:24.6	49.260018833	-123.245817000	104.3	7.4	283.1	10	1.11		
T	2023-12-08 00:26:24.8	49.260018500	-123.245823500	104.5	8.1	275.2	10	1.11		
T	2023-12-08 00:26:25	49.260020333	-123.245834500	104.2	11.4	273.4	10	1.11		
T	2023-12-08 00:26:25.2	49.260022333	-123.245848333	104.0	14.7	274.4	10	1.11		
T	2023-12-08 00:26:25.4	49.260023833	-123.245863000	103.9	16.7	275.1	10	1.11		
T	2023-12-08 00:26:25.6	49.260024667	-123.245878167	103.7	18.3	274.2	10	1.11		
T	2023-12-08 00:26:25.8	49.260024833	-123.245895167	103.7	20.1	271.8	10	1.11		
T	2023-12-08 00:26:26	49.260025500	-123.245914167	103.5	22.2	270.6	10	1.11		
T	2023-12-08 00:26:26.2	49.260025333	-123.245933167	103.5	23.4	269.2	10	1.11		
T	2023-12-08 00:26:26.4	49.260024667	-123.245952333	103.4	24.3	266.9	10	1.11		
T	2023-12-08 00:26:26.6	49.260023333	-123.245972667	103.3	25.5	264.5	10	1.11		
T	2023-12-08 00:26:26.8	49.260021833	-123.245993000	103.1	26.2	262.9	10	1.11		
T	2023-12-08 00:26:27	49.260020000	-123.246013167	103.0	26.6	261.2	10	1.11		
T	2023-12-08 00:26:27.2	49.260017833	-123.246033333	102.9	27.1	259.7	10	1.11		
T	2023-12-08 00:26:27.4	49.260015000	-123.246054667	102.8	27.7	258.5	10	1.11		
T	2023-12-08 00:26:27.6	49.260011167	-123.246075500	102.9	28.1	256.5	10	1.11		
T	2023-12-08 00:26:27.8	49.260007167	-123.246096833	102.7	28.4	254.5	10	1.11		
T	2023-12-08 00:26:28	49.260003167	-123.246119000	102.6	29.1	252.9	10	1.11		
T	2023-12-08 00:26:28.2	49.259997833	-123.246141000	102.4	30.3	250.3	10	1.11		
T	2023-12-08 00:26:28.4	49.259992333	-123.246163500	102.1	31.2	248.6	10	1.11		
T	2023-12-08 00:26:28.6	49.259986667	-123.246186167	101.9	31.9	248.0	10	1.11		
T	2023-12-08 00:26:28.8	49.259980000	-123.246209167	101.7	32.7	246.5	10	1.11		
T	2023-12-08 00:26:29	49.259972833	-123.246232000	101.5	33.4	244.7	10	1.11		
T	2023-12-08 00:26:29.2	49.259966000	-123.246255000	101.3	33.8	244.3	10	1.11		
T	2023-12-08 00:26:29.4	49.259959833	-123.246278833	101.0	34.2	244.9	10	1.11		
T	2023-12-08 00:26:29.6	49.259953000	-123.246302500	100.9	34.6	244.3	10	1.11		
T	2023-12-08 00:26:29.8	49.259946167	-123.246326833	100.7	35.0	244.1	10	1.11		
T	2023-12-08 00:26:30	49.259940167	-123.246351333	100.9	34.7	245.2	10	1.11		
T	2023-12-08 00:26:30.2	49.259933333	-123.246375833	100.9	35.0	244.4	10	1.11		
T	2023-12-08 00:26:30.4	49.259927167	-123.246400667	101.1	35.2	245.4	10	1.11		
T	2023-12-08 00:26:30.6	49.259920167	-123.246425500	101.1	35.5	244.9	10	1.11		
T	2023-12-08 00:26:30.8	49.259913333	-123.246450333	101.2	35.8	245.1	10	1.11		
T	2023-12-08 00:26:31	49.259906000	-123.246474833	101.4	35.9	244.5	10	1.11		
T	2023-12-08 00:26:31.2	49.259897833	-123.246499333	101.4	36.1	243.0	10	1.11		
T	2023-12-08 00:26:31.4	49.259889667	-123.246524167	101.5	36.5	242.8	10	1.11		
T	2023-12-08 00:26:31.6	49.259881000	-123.246549333	101.5	37.0	241.4	10	1.11		
T	2023-12-08 00:26:31.8	49.259873167	-123.246574500	101.5	36.8	242.0	10	1.11		
T	2023-12-08 00:26:32	49.259865667	-123.246599000	101.4	36.3	243.1	10	1.11		
T	2023-12-08 00:26:32.2	49.259856833	-123.246624167	101.3	36.8	242.1	10	1.84		
T	2023-12-08 00:26:32.4	49.259847667	-123.246649667	101.3	37.3	241.6	9	1.84		
T	2023-12-08 00:26:32.6	49.259838667	-123.246675500	101.3	37.7	241.8	9	1.84		
T	2023-12-08 00:26:32.8	49.259829833	-123.246700833	101.4	37.7	241.5	9	1.84		
T	2023-12-08 00:26:33	49.259820667	-123.246727000	101.3	38.0	241.2	9	1.84		
T	2023-12-08 00:26:33.2	49.259811167	-123.246753000	101.3	38.3	240.7	9	1.84		
T	2023-12-08 00:26:33.4	49.259802000	-123.246779667	101.3	38.8	241.3	9	1.84		
T	2023-12-08 00:26:33.6	49.259792500	-123.246806000	101.3	39.0	241.0	9	1.84		
T	2023-12-08 00:26:33.8	49.259783000	-123.246832000	101.2	39.0	240.7	9	1.84		
T	2023-12-08 00:26:34	49.259773333	-123.246858000	101.2	39.1	240.5	10	1.84		
T	2023-12-08 00:26:34.2	49.259763833	-123.246883333	101.1	38.8	240.4	10	1.84		
T	2023-12-08 00:26:34.4	49.259754333	-123.246909167	101.1	38.8	240.5	10	1.84		
T	2023-12-08 00:26:34.6	49.259745333	-123.246937000	101.1	39.6	241.8	10	1.84		
T	2023-12-08 00:26:34.8	49.259736333	-123.246964167	101.2	39.6	242.2	9	1.84		
T	2023-12-08 00:26:35	49.259727667	-123.246989833	101.0	38.9	241.9	9	1.84		
T	2023-12-08 00:26:35.2	49.259719167	-123.247015667	101.0	38.5	242.1	9	1.84		
T	2023-12-08 00:26:35.4	49.259711000	-123.247041500	100.8	38.1	242.2	10	1.84		
T	2023-12-08 00:26:35.6	49.259702667	-123.247066833	100.7	37.8	242.5	10	1.84		
T	2023-12-08 00:26:35.8	49.259694333	-123.247092167	100.6	37.5	242.3	10	1.84		
T	2023-12-08 00:26:36	49.259685667	-123.247116667	100.5	37.2	241.7	10	1.84		
T	2023-12-08 00:26:36.2	49.259677333	-123.247141000	100.4	36.8	241.6	10	1.84		
T	2023-12-08 00:26:36.4	49.259669333	-123.247164500	100.2	36.5	241.9	10	1.11		
T	2023-12-08 00:26:36.6	49.259661500	-123.247188333	100.0	36.0	241.9	10	1.11		
T	2023-12-08 00:26:36.8	49.259653167	-123.247212167	99.9	36.0	241.6	11	1.84		
T	2023-12-08 00:26:37	49.259645000	-123.247236000	99.9	35.8	241.3	11	1.84		
T	2023-12-08 00:26:37.2	49.259636500	-123.247260333	99.9	36.0	241.3	11	1.84		
T	2023-12-08 00:26:37.4	49.259628333	-123.247283667	99.8	35.6	241.3	11	1.84		
T	2023-12-08 00:26:37.6	49.259620167	-123.247307333	99.8	35.5	241.2	10	1.84		
T	2023-12-08 00:26:37.8	49.259612000	-123.247330667	99.7	35.4	241.4	10	1.11		
T	2023-12-08 00:26:38	49.259604000	-123.247353333	99.6	34.9	240.8	10	1.11		
T	2023-12-08 00:26:38.2	49.259596167	-123.247376667	99.7	34.6	241.2	10	1.11		
T	2023-12-08 00:26:38.4	49.259588667	-123.247398333	99.4	34.0	241.2	10	1.11		
T	2023-12-08 00:26:38.6	49.259580167	-123.247422000	99.4	34.5	240.7	10	1.11		
T	2023-12-08 00:26:38.8	49.259572333	-123.247445167	99.4	34.4	241.3	10	1.11		
T	2023-12-08 00:26:39	49.259565333	-123.247467667	99.0	34.0	242.4	11	1.11		
T	2023-12-08 00:26:39.2	49.259557833	-123.247489333	98.8	33.3	242.0	11	1.11		
T	2023-12-08 00:26:39.4	49.259550833	-123.247512167	98.7	33.3	242.5	11	1.11		
T	2023-12-08 00:26:39.6	49.259544333	-123.247534333	98.4	32.9	243.0	11	1.11		
T	2023-12-08 00:26:39.8	49.259537333	-123.247555833	98.1	32.4	242.5	11	1.11		
T	2023-12-08 00:26:40	49.259530333	-123.247577500	98.0	32.2	242.8	11	1.11		
T	2023-12-08 00:26:40.2	49.259522167	-123.247600167	97.9	32.9	241.8	11	1.11		
T	2023-12-08 00:26:40.4	49.259514333	-123.247622000	97.9	32.8	241.3	11	1.11		
T	2023-12-08 00:26:40.6	49.259507000	-123.247642667	97.6	32.4	240.8	11	1.11		
T	2023-12-08 00:26:40.8	49.259499333	-123.247664167	97.5	32.3	241.2	11	1.11		
T	2023-12-08 00:26:41	49.259492000	-123.247686000	97.3	32.3	241.9	11	1.11		
T	2023-12-08 00:26:41.2	49.259485000	-123.247707833	97.2	32.2	242.2	11	1.11		
T	2023-12-08 00:26:41.4	49.259477333	-123.247729167	97.1	31.9	241.3	11	1.11		
T	2023-12-08 00:26:41.6	49.259470000	-123.247750667	96.9	31.9	241.3	11	1.11		
T	2023-12-08 00:26:41.8	49.259462333	-123.247771667	96.9	31.8	240.8	10	1.11		
T	2023-12-08 00:26:42	49.259454000	-123.247792833	96.9	31.9	239.8	10	1.11		
T	2023-12-08 00:26:42.2	49.259446167	-123.247813833	96.9	31.6	240.1	11	1.03		
T	2023-12-08 00:26:42.4	49.259439500	-123.247834167	96.8	31.1	241.3	11	1.03		
T	2023-12-08 00:26:42.6	49.259432500	-123.247854833	96.7	31.0	241.6	12	1.03		
T	2023-12-08 00:26:42.8	49.259425500	-123.247874500	96.7	30.3	241.4	11	1.03		
T	2023-12-08 00:26:43	49.259418833	-123.247893333	96.6	29.4	241.7	11	1.03		
T	2023-12-08 00:26:43.2	49.259412333	-123.247911667	96.5	28.4	241.7	11	1.03		
T	2023-12-08 00:26:43.4	49.259406167	-123.247929500	96.5	27.4	242.1	12	1.03		
T	2023-12-08 00:26:43.6	49.259400000	-123.247946667	96.5	26.4	242.1	12	1.03		
T	2023-12-08 00:26:43.8	49.259394333	-123.247962833	96.4	25.4	242.1	12	1.03		
T	2023-12-08 00:26:44	49.259389000	-123.247978667	96.3	24.4	242.7	12	1.03		
T	2023-12-08 00:26:44.2	49.259384333	-123.247993833	96.4	23.1	243.5	12	1.03		
T	2023-12-08 00:26:44.4	49.259380167	-123.248008500	96.5	21.6	244.9	12	1.03		
T	2023-12-08 00:26:44.6	49.259377167	-123.248022833	96.9	19.9	247.6	12	1.03		
T	2023-12-08 00:26:44.8	49.259373667	-123.248035833	97.4	18.6	248.6	12	1.03		
T	2023-12-08 00:26:45	49.259372000	-123.248050167	97.9	18.3	251.3	12	1.03		
T	2023-12-08 00:26:45.2	49.259368500	-123.248062500	97.9	17.7	250.6	12	1.11		
T	2023-12-08 00:26:45.4	49.259365000	-123.248074333	97.7	17.4	248.6	11	1.11		
T	2023-12-08 00:26:45.6	49.259361833	-123.248085167	97.7	16.5	247.0	11	1.11		
T	2023-12-08 00:26:45.8	49.259358667	-123.248095333	97.6	15.7	245.7	11	1.11		
T	2023-12-08 00:26:46	49.259355667	-123.248105833	97.6	15.2	245.0	11	1.11		
T	2023-12-08 00:26:46.2	49.259352500	-123.248117000	97.5	15.4	244.3	12	1.11		
T	2023-12-08 00:26:46.4	49.259349167	-123.248129000	97.3	16.1	243.8	12	1.03		
T	2023-12-08 00:26:46.6	49.259345500	-123.248140167	97.1	16.0	243.1	12	1.03		
T	2023-12-08 00:26:46.8	49.259341500	-123.248152333	96.8	16.6	242.6	12	1.03		
T	2023-12-08 00:26:47	49.259337167	-123.248165500	96.6	17.7	242.5	12	1.03		
T	2023-12-08 00:26:47.2	49.259333000	-123.248179333	96.4	18.6	243.2	12	1.03		
T	2023-12-08 00:26:47.4	49.259329167	-123.248192667	96.3	18.7	244.3	12	1.03		
T	2023-12-08 00:26:47.6	49.259326667	-123.248204167	96.1	17.5	246.3	12	1.03		
T	2023-12-08 00:26:47.8	49.259323667	-123.248216667	95.9	17.4	248.1	12	1.03		
T	2023-12-08 00:26:48	49.259319833	-123.248230167	95.7	17.9	248.4	12	1.03		
T	2023-12-08 00:26:48.2	49.259315333	-123.248244667	95.6	19.0	247.1	12	1.03		
T	2023-12-08 00:26:48.4	49.259310500	-123.248260333	95.4	20.5	246.3	12	1.03		
T	2023-12-08 00:26:48.6	49.259305667	-123.248276333	95.3	21.5	246.2	12	1.03		
T	2023-12-08 00:26:48.8	49.259301000	-123.248291500	95.2	21.7	246.3	12	1.03		
T	2023-12-08 00:26:49	49.259296333	-123.248305667	95.1	21.4	245.6	12	1.03		
T	2023-12-08 00:26:49.2	49.259291667	-123.248319833	95.1	21.2	244.8	12	1.03		
T	2023-12-08 00:26:49.4	49.259286833	-123.248335500	95.1	21.7	244.7	12	1.03		
T	2023-12-08 00:26:49.6	49.259284333	-123.248350000	95.2	20.7	247.0	12	1.03		
T	2023-12-08 00:26:49.8	49.259280500	-123.248365833	95.5	21.0	248.5	12	1.03		
T	2023-12-08 00:26:50	49.259277167	-123.248382667	95.9	21.3	250.3	12	1.03		
T	2023-12-08 00:26:50.2	49.259274000	-123.248398000	96.1	21.1	251.4	11	1.03		
T	2023-12-08 00:26:50.4	49.259270833	-123.248414333	96.3	21.5	252.7	11	1.03		
T	2023-12-08 00:26:50.6	49.259267333	-123.248430500	96.3	21.8	252.7	11	1.03		
T	2023-12-08 00:26:50.8	49.259260667	-123.248448833	96.2	23.4	249.2	11	1.03		
T	2023-12-08 00:26:51	49.259255333	-123.248466333	96.2	23.8	247.4	11	1.03		
T	2023-12-08 00:26:51.2	49.259250167	-123.248484333	96.0	24.5	246.4	11	1.03		
T	2023-12-08 00:26:51.4	49.259242667	-123.248502333	95.8	26.0	243.3	11	1.03		
T	2023-12-08 00:26:51.6	49.259235000	-123.248520333	95.5	27.0	241.0	11	1.03		
T	2023-12-08 00:26:51.8	49.259229167	-123.248537500	95.2	26.6	240.4	11	1.03		
T	2023-12-08 00:26:52	49.259222667	-123.248554833	94.8	26.8	240.1	11	1.03		
T	2023-12-08 00:26:52.2	49.259217167	-123.248571833	94.6	26.2	240.8	11	1.03		
T	2023-12-08 00:26:52.4	49.259211833	-123.248588833	94.4	25.8	242.1	11	1.03		
T	2023-12-08 00:26:52.6	49.259207167	-123.248606167	94.4	25.2	243.8	11	1.03		
T	2023-12-08 00:26:52.8	49.259202333	-123.248623500	94.3	25.2	244.9	11	1.03		
T	2023-12-08 00:26:53	49.259197667	-123.248641333	94.2	25.1	246.0	11	1.03		
T	2023-12-08 00:26:53.2	49.259193167	-123.248659000	94.1	24.9	246.9	11	1.03		
T	2023-12-08 00:26:53.4	49.259188167	-123.248677000	94.0	25.1	246.9	11	1.03		
T	2023-12-08 00:26:53.6	49.259183500	-123.248694667	93.8	25.1	247.2	11	1.03		
T	2023-12-08 00:26:53.8	49.259178833	-123.248712333	93.6	25.2	247.5	11	1.03		
T	2023-12-08 00:26:54	49.259174333	-123.248729667	93.6	25.1	248.0	11	1.03		
T	2023-12-08 00:26:54.2	49.259169667	-123.248746833	93.4	24.9	248.0	11	1.03		
T	2023-12-08 00:26:54.4	49.259164500	-123.248764500	93.3	25.1	247.3	11	1.03		
T	2023-12-08 00:26:54.6	49.259159333	-123.248782333	93.1	25.3	247.1	11	1.03		
T	2023-12-08 00:26:54.8	49.259154167	-123.248800167	93.0	25.4	247.2	11	1.03		
T	2023-12-08 00:26:55	49.259149167	-123.248817667	92.9	25.4	247.4	11	1.03		
T	2023-12-08 00:26:55.2	49.259144500	-123.248834667	92.8	25.1	247.4	11	1.03		
T	2023-12-08 00:26:55.4	49.259139500	-123.248851333	92.5	24.7	247.2	11	1.03		
T	2023-12-08 00:26:55.6	49.259135000	-123.248868667	92.5	23.9	247.3	11	1.03		
T	2023-12-08 00:26:55.8	49.259130000	-123.248884667	92.3	23.3	246.7	11	1.03		
T	2023-12-08 00:26:56	49.259125833	-123.248899667	92.1	22.3	247.1	11	1.03		
T	2023-12-08 00:26:56.2	49.259121333	-123.248914333	91.9	21.6	246.6	11	1.03		
T	2023-12-08 00:26:56.4	49.259117500	-123.248928333	91.8	20.6	246.8	11	1.11		
T	2023-12-08 00:26:56.6	49.259113667	-123.248942000	91.6	19.9	246.8	10	1.11		
T	2023-12-08 00:26:56.8	49.259109667	-123.248955500	91.6	19.3	246.7	10	1.11		
T	2023-12-08 00:26:57	49.259106000	-123.248967500	91.5	18.1	246.3	11	1.03		
T	2023-12-08 00:26:57.2	49.259101667	-123.248979500	91.4	17.6	244.9	11	1.11		
T	2023-12-08 00:26:57.4	49.259097500	-123.248989167	91.2	15.7	243.4	11	1.11		
T	2023-12-08 00:26:57.6	49.259093167	-123.248999000	90.9	14.6	241.8	11	1.03		
T	2023-12-08 00:26:57.8	49.259088833	-123.249007833	90.8	14.2	239.3	11	1.03		
T	2023-12-08 00:26:58	49.259085500	-123.249017500	90.7	14.4	239.6	11	1.03		
T	2023-12-08 00:26:58.2	49.259083333	-123.249026167	90.4	13.3	241.2	10	1.03		
T	2023-12-08 00:26:58.4	49.259081833	-123.249034667	90.4	11.8	244.1	10	1.03		
T	2023-12-08 00:26:58.6	49.259079667	-123.249041833	90.5	10.9	244.8	10	1.03		
T	2023-12-08 00:26:58.8	49.259079000	-123.249049500	90.5	10.4	248.0	10	1.03		
T	2023-12-08 00:26:59	49.259078333	-123.249056667	90.5	9.9	251.8	10	1.03		
T	2023-12-08 00:26:59.2	49.259076667	-123.249062833	90.5	9.0	252.1	10	1.03		
T	2023-12-08 00:26:59.4	49.259075500	-123.249068333	90.5	8.0	252.2	10	1.03		
T	2023-12-08 00:26:59.6	49.259073833	-123.249073000	90.5	7.2	250.4	10	1.03		
T	2023-12-08 00:26:59.8	49.259072333	-123.249076833	90.5	6.0	247.8	10	1.03		
T	2023-12-08 00:27:00	49.259071833	-123.249079333	90.3	4.3	247.9	10	1.03		
T	2023-12-08 00:27:00.2	49.259070667	-123.249081667	90.3	3.7	245.2	10	1.03		
T	2023-12-08 00:27:00.4	49.259070000	-123.249084000	90.2	2.9	247.1	10	1.03		
T	2023-12-08 00:27:00.6	49.259069333	-123.249085500	90.3	2.4	246.3	10	1.03		
T	2023-12-08 00:27:00.8	49.259068833	-123.249086500	90.3	1.4		10	1.03		
T	2023-12-08 00:27:01	49.259068333	-123.249087333	90.3	1.0		10	1.03		
T	2023-12-08 00:27:01.2	49.259068000	-123.249088000	90.5	0.5		10	1.03		
T	2023-12-08 00:27:01.6	49.259067667	-123.249088333	90.7	0.3		10	1.03		
T	2023-12-08 00:27:01.8	49.259067667	-123.249088667	90.8	0.3		10	1.03		
T	2023-12-08 00:27:02	49.259067667	-123.249088833	90.9	0.2		10	1.03		
T	2023-12-08 00:27:02.2	49.259067333	-123.249088833	90.9	0.1		10	1.03		
T	2023-12-08 00:27:02.4	49.259067333	-123.249089000	91.0	0.1		10	1.03		
T	2023-12-08 00:27:02.6	49.259067500	-123.249089500	91.1	0.2		10	1.03		
T	2023-12-08 00:27:02.8	49.259067167	-123.249089833	91.2	0.1		9	1.11		
T	2023-12-08 00:27:03	49.259067000	-123.249090000	91.3	0.2		9	1.11		
T	2023-12-08 00:27:03.2	49.259066833	-123.249090667	91.4	0.3		9	1.11		
T	2023-12-08 00:27:03.8	49.259066833	-123.249091000	91.4	0.1		9	1.11	1	
T	2023-12-08 00:27:03.6	49.259067000	-123.249091000	91.4	0.2		9	1.11		
T	2023-12-08 00:27:04	49.259066333	-123.249091333	91.5	0.6		9	1.11		
T	2023-12-08 00:27:04.2	49.259066000	-123.249091333	91.5	0.4		9	1.11		
T	2023-12-08 00:27:04.4	49.259066167	-123.249091667	91.4	0.1		9	1.11		
T	2023-12-08 00:27:04.6	49.259066333	-123.249091833	91.5	0.1		9	1.11		
T	2023-12-08 00:27:04.8	49.259066333	-123.249092167	91.4	0.2		9	1.11		
T	2023-12-08 00:27:05	49.259066167	-123.249092167	91.4	0.1		9	1.11		
T	2023-12-08 00:27:05.2	49.259066000	-123.249092500	91.4	0.1		9	1.11		
T	2023-12-08 00:27:05.4	49.259065833	-123.249092500	91.4	0.2		9	1.11		
T	2023-12-08 00:27:05.6	49.259066000	-123.249092833	91.3	0.1		10	1.11		
T	2023-12-08 00:27:05.8	49.259066167	-123.249093000	91.2	0.1		10	1.11		
T	2023-12-08 00:27:06	49.259066333	-123.249093333	91.2	0.1		10	1.11		
T	2023-12-08 00:27:06.2	49.259066667	-123.249093833	91.2	0.1		10	1.11		
T	2023-12-08 00:27:06.4	49.259067000	-123.249094333	91.1	0.2		10	1.11		
T	2023-12-08 00:27:06.6	49.259067500	-123.249094167	91.1	0.3		10	1.03		
T	2023-12-08 00:27:06.8	49.259068333	-123.249094333	91.2	0.7		10	1.03		
T	2023-12-08 00:27:07	49.259068667	-123.249094833	91.2	0.3		10	1.03		
T	2023-12-08 00:27:07.2	49.259069333	-123.249095167	91.2	0.6		10	1.03		
T	2023-12-08 00:27:07.4	49.259070000	-123.249095333	91.3	0.6		10	1.03		
T	2023-12-08 00:27:07.6	49.259070167	-123.249095833	91.2	0.3		10	1.03		
T	2023-12-08 00:27:07.8	49.259070333	-123.249096333	91.2	0.0		10	1.03		
T	2023-12-08 00:27:08	49.259070500	-123.249096500	91.1	0.1		10	1.03		
T	2023-12-08 00:27:08.2	49.259070333	-123.249096833	91.0	0.3		10	1.03		
T	2023-12-08 00:27:08.4	49.259070333	-123.249097167	91.0	0.2		10	1.03		
T	2023-12-08 00:27:08.6	49.259070667	-123.249097500	90.9	0.1		10	1.03		
T	2023-12-08 00:27:08.8	49.259070833	-123.249097667	90.8	0.2		10	1.03		
T	2023-12-08 00:27:09	49.259070833	-123.249098167	90.8	0.2		10	1.03		
T	2023-12-08 00:27:09.2	49.259071000	-123.249098500	90.7	0.1		10	1.03		
T	2023-12-08 00:27:09.4	49.259071333	-123.249099000	90.7	0.1		10	1.03		
T	2023-12-08 00:27:09.6	49.259071500	-123.249099167	90.7	0.1		10	1.03		
T	2023-12-08 00:27:09.8	49.259071667	-123.249099500	90.6	0.1		10	1.03		
T	2023-12-08 00:27:10	49.259071833	-123.249099833	90.6	0.0		10	1.03		
T	2023-12-08 00:27:10.2	49.259072000	-123.249100000	90.5	0.1		10	1.03		
T	2023-12-08 00:27:10.4	49.259072333	-123.249100167	90.5	0.1		10	1.03		
T	2023-12-08 00:27:10.6	49.259072333	-123.249100333	90.5	0.1		10	1.03		
T	2023-12-08 00:27:10.8	49.259072500	-123.249100667	90.5	0.2		10	1.03		
T	2023-12-08 00:27:11	49.259072667	-123.249100833	90.4	0.1		10	1.03		
T	2023-12-08 00:27:11.2	49.259072833	-123.249101000	90.4	0.1		10	1.03		
T	2023-12-08 00:27:11.4	49.259073000	-123.249101333	90.4	0.1		10	1.03		
T	2023-12-08 00:27:11.6	49.259073000	-123.249101500	90.4	0.0		10	1.03		
